Parametry
Precyzja: 10^-3
Iteracje: 103
;real;bin;f(real)
0;-2.094;[0 0 0 1 1 1 1 0 1 0 0 0 0 0];1.627175432181084
1;-2.094;[0 0 0 1 1 1 1 0 1 0 0 0 0 0];1.627175432181084
2;10.907;[1 1 1 0 1 1 1 0 1 0 0 0 0 0];1.72412257116621
3;10.907;[1 1 1 0 1 1 1 0 1 0 0 0 0 0];1.72412257116621
4;10.907;[1 1 1 0 1 1 1 0 1 0 0 0 0 0];1.72412257116621
5;10.907;[1 1 1 0 1 1 1 0 1 0 0 0 0 0];1.72412257116621
6;10.907;[1 1 1 0 1 1 1 0 1 0 0 0 0 0];1.72412257116621
7;10.907;[1 1 1 0 1 1 1 0 1 0 0 0 0 0];1.72412257116621
8;4.901;[1 0 0 0 1 1 1 0 0 1 1 0 1 0];1.7842433960766892
9;4.901;[1 0 0 0 1 1 1 0 0 1 1 0 1 0];1.7842433960766892
10;4.901;[1 0 0 0 1 1 1 0 0 1 1 0 1 0];1.7842433960766892
11;4.901;[1 0 0 0 1 1 1 0 0 1 1 0 1 0];1.7842433960766892
12;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
13;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
14;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
15;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
16;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
17;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
18;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
19;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
20;4.992;[1 0 0 0 1 1 1 1 1 1 0 1 1 1];1.8227697862312267
21;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
22;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
23;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
24;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
25;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
26;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
